Pathways	Object ID	Sub-Pathways
pyoverdine I biosynthesis	PWY-6409	
salicylate degradation IV	PWY-6640	
diacylglycerol and triacylglycerol biosynthesis	TRIGLSYN-PWY	
4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7963	
linoleate biosynthesis III (cyanobacteria)	PWY-7593	
xanthohumol biosynthesis	PWY-5135	
emetine biosynthesis	PWY-7135	
enterobactin biosynthesis	ENTBACSYN-PWY	2,3-dihydroxybenzoate biosynthesis
phytyl diphosphate biosynthesis	PWY-5063	
cutin biosynthesis	PWY-321	
glycine biosynthesis III	GLYSYN-ALA-PWY	
olivetol biosynthesis	PWY-7105	
5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7966	
TCA cycle I (prokaryotic)	TCA	
sophoraflavanone G biosynthesis	PWY-6914	
superpathway of roquefortine, meleagrin and neoxaline biosynthesis	PWY-7609	"neoxaline biosynthesis"" // ""roquefortine C biosynthesis"" // ""meleagrin biosynthesis"
L-methionine salvage cycle II (plants)	PWY-7270	"<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I"" // ""<i>S</i>-methyl-5'-thioadenosine degradation I"" // ""S-adenosyl-L-methionine biosynthesis"
ferrichrome biosynthesis	PWY-7577	
phthiocerol biosynthesis	PWY-7741	
5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	PWY-7969	
L-lysine biosynthesis III	PWY-2942	
L-phenylalanine biosynthesis I	PHESYN	
fumitremorgin C biosynthesis	PWY-7525	
hydroxylated mugineic acid phytosiderophore biosynthesis	PWY-5925	
glycine biosynthesis II	GLYCINE-SYN2-PWY	glycine cleavage
dimycocerosyl phthiocerol biosynthesis	PWY-7744	
lipoate biosynthesis and incorporation IV (yeast)	PWY-7382	
colupulone and cohumulone biosynthesis	PWY-5133	
acetaldehyde biosynthesis I	PWY-6333	
TCA cycle IV (2-oxoglutarate decarboxylase)	P105-PWY	
L-phenylalanine biosynthesis III (cytosolic, plants)	PWY-7432	
viridicatin biosynthesis	PWY-7704	
acinetobactin biosynthesis	PWY-7984	
wax esters biosynthesis I	PWY-5884	
L-lysine biosynthesis II	PWY-2941	
superpathway of L-phenylalanine biosynthesis	PWY-6628	"L-phenylalanine biosynthesis I"" // ""chorismate biosynthesis I"
nitrite reduction (hemoglobin)	PWY-7683	
desferrioxamine E biosynthesis	PWY-6375	
lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>)	PWY-8073	
L-pyrrolysine biosynthesis	PWY-6994	
glycine biosynthesis IV	GLYSYN-THR-PWY	
hyperforin and adhyperforin biosynthesis	PWY-5808	
lipoate salvage I	PWY0-522	
TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	PWY-6969	
L-phenylalanine biosynthesis II	PWY-3462	
hypotaurine degradation	PWY-7387	
baumannoferrin biosynthesis	PWY-7988	
phenylethylamine degradation II	PWY-6534	
stigma estolide biosynthesis	PWY-6453	
L-lysine biosynthesis VI	PWY-5097	
urea cycle	PWY-4984	
alcaligin biosynthesis	PWY-6379	
glycine degradation (Stickland reaction)	PWY-8015	
phenylethylamine degradation I	2PHENDEG-PWY	
biotin-carboxyl carrier protein assembly	PWY0-1264	
lupulone and humulone biosynthesis	PWY-5132	
lipoate biosynthesis and incorporation III (Bacillus)	PWY-6987	
TCA cycle VI (Helicobacter)	REDCITCYC	
superpathway of ammonia assimilation (plants)	PWY-3282	"ammonia assimilation cycle II"" // ""ammonia assimilation cycle I"
staphyloferrin B biosynthesis	PWY-8008	
lipid A-core biosynthesis (<i>E. coli</i> K-12)	LIPA-CORESYN-PWY	
reductive TCA cycle I	P23-PWY	
molybdenum cofactor biosynthesis	PWY-6823	
L-lysine biosynthesis IV	LYSINE-AMINOAD-PWY	
bacterial bioluminescence	PWY-7723	
L-glutamine biosynthesis I	GLNSYN-PWY	
