reaction_id	pathway_ids (KEGG and Metacyc
rxn00001	PWY-7805	PWY-7807
rxn00002	ALLANTOINDEG-PWY	PWY-5169	PWY-5703	PWY-5724	rn00330	rn00791
rxn00003	rn00770
rxn00004	rn00362	rn00660
rxn00006	DETOX1-PWY	DETOX1-PWY-1	PWY-5506	rn00630	rn01110
rxn00007	rn00500
rxn00008	PWY-6591
rxn00009	
rxn00010	GLYCOL-GLYOXDEG-PWY	GLYCOLATEMET-PWY	rn00630
rxn00011	rn00010	rn00020	rn00620	rn01110
rxn00012	PWY-822
rxn00013	
rxn00014	
rxn00015	rn00960	rn01110
rxn00016	rn00520	rn01110
rxn00017	
rxn00018	CALVIN-PWY	PHOTOALL-PWY	PWY-5532	PWY-5723	PWY-6886	PWY-7124	PWY-7218	rn00710	rn01200
rxn00019	
rxn00020	rn00500
rxn00021	
rxn00022	rn00500
rxn00023	
rxn00024	PWY-3581	PWY-5399	PWY-5405	PWY-6133	PWY-6955	rn00350	rn00950	rn01110
rxn00025	PWY-6857	rn00830
rxn00026	rn00730
rxn00027	
rxn00028	rn00053
rxn00029	P381-PWY	PWY-5188	PWY-5189	PWY-5507	PWY-5529	PWY-5918	PWY-5920	rn00860	rn01110
rxn00030	
rxn00031	
rxn00032	
rxn00033	PWY-5151	PWY-7514	rn00350
rxn00034	
rxn00035	rn00950	rn01110
rxn00036	PWY-5399	PWY-5405	rn00350
rxn00037	
rxn00038	rn00650
rxn00039	PWY-5475	PWY-5478
rxn00040	
rxn00041	
rxn00042	
rxn00043	PWY-6752
rxn00044	P621-PWY
rxn00045	
rxn00046	PWY-3301
rxn00047	
rxn00048	PWY-6167	PWY-6168	RIBOSYN2-PWY	rn00740
rxn00050	
rxn00051	rn00860
rxn00052	rn00730
rxn00053	
rxn00054	rn00380
rxn00055	PWY-5912	PWY-5957
rxn00056	rn00860
rxn00057	
rxn00058	
rxn00059	
rxn00060	P381-PWY	PWY-5188	PWY-5189	PWY-5507	PWY-5529	PWY-5918	PWY-5920	rn00860	rn01110
rxn00061	
rxn00062	rn00230
rxn00063	rn00230
rxn00064	
rxn00065	rn00230
rxn00066	
rxn00067	
rxn00068	PWY-5934	PWY-6854
rxn00069	GLUGLNSYN-PWY	PWY-3282	PWY-5505	PWY-6963	rn00250	rn00910	rn01110
rxn00070	
rxn00071	PWY-6370	rn00053
rxn00072	rn00860
rxn00073	
rxn00074	rn00860
rxn00075	rn00760
rxn00076	PWY-5381	PWY-7761	PYRIDNUCSAL-PWY	rn00760
rxn00077	NADPHOS-DEPHOS-PWY	NADPHOS-DEPHOS-PWY-1	PWY-5083	PWY-7245	PWY-7268	PWY-7269	rn00760
rxn00078	PWY-5083	PWY-7245	PWY-7268	PWY-7269
rxn00079	
rxn00080	rn00860
rxn00081	
rxn00082	
rxn00083	PWY-5083	rn00760
rxn00084	
rxn00085	AMMASSIM-PWY	GLUTAMINEFUM-PWY	GLUTSYN-PWY	PWY-5505	rn00250	rn00910	rn01110	rn01230
rxn00086	PWY-4081	rn00480
rxn00087	
rxn00088	NADPHOS-DEPHOS-PWY	PWY-5083	rn00760
rxn00089	rn00760
rxn00090	rn00480
rxn00091	
rxn00092	rn00230
rxn00093	
rxn00095	rn00230
rxn00096	rn00230
rxn00097	DENOVOPURINE2-PWY	PRPP-PWY	PWY-6126	PWY-7219	PWY-7229	PWY-841	PWY66-409	rn00230	rn01110
rxn00098	rn00230
rxn00099	PWY-6938
rxn00100	COA-PWY	COA-PWY-1	PANTOSYN-PWY	PWY-4221	PWY-7851	rn00770
rxn00101	PWY-5704	URDEGR-PWY	rn00230	rn00330	rn00791
rxn00102	CYANCAT-PWY	PWY-241	PWY-5743	PWY-5744	PWY-5789	PWY-6142	PWY-6146	PWY-7024	PWY-7115	PWY-7117	PWYQT-4429	rn00910
rxn00103	CODH-PWY	PWY-5372	PWY-6146	rn00680	rn00720	rn01200
rxn00104	
rxn00105	PWY-3502	PWY3O-4106	rn00760
rxn00106	
rxn00107	rn00240
rxn00108	rn00240
rxn00109	PWY-7798	rn00910
rxn00110	
rxn00111	
rxn00112	
rxn00113	rn00250	rn00330	rn00910	rn01200	rn01230
rxn00114	rn00230	rn00330	rn01200
rxn00115	rn00460
rxn00116	rn00240
rxn00117	PRPP-PWY	PWY-7176	PWY-7196	PWY-7208	PWY-7211	PWY0-162	rn00240
rxn00118	
rxn00119	PRPP-PWY	PWY-7176	PWY-7196	PWY-7208	PWY-7211	PWY0-162	rn00240
rxn00120	rn00240
rxn00121	rn00740
rxn00122	PWY-6167	PWY-6168	PWY66-366	RIBOSYN2-PWY	rn00740
rxn00123	PWY-7204	rn00750
rxn00124	PLPSAL-PWY	PWY-7204	PWY-7282	PWY0-845	rn00750
rxn00125	
rxn00126	ETHYL-PWY	MET-SAM-PWY	METHIONINE-DEG1-PWY	PWY-5041	PWY-5328	PWY-5912	PWY-6151	PWY-6292	PWY-7270	PWY-7527	PWY-7528	PWY-I9	PWY0-781	SAM-PWY	rn00270	rn01110	rn01230
rxn00127	ARGSPECAT-PWY	BSUBPOLYAMSYN-PWY	POLYAMINSYN3-PWY	POLYAMSYN-PWY	PWY-6834	PWY-7527	PWY-7528	rn00270	rn00330
rxn00128	ETHYL-PWY	PWY-7270	rn00270	rn01110
rxn00129	
rxn00130	P165-PWY	PWY-5044	PWY-6596	rn00230	rn01110
rxn00131	PWY-6617	rn00230
rxn00132	PWY-6353	SALVADEHYPOX-PWY	rn00230
rxn00133	rn00230
rxn00134	PWY-6619	PWY66-409	rn00230
rxn00135	
rxn00136	rn00230
rxn00137	
rxn00138	PWY0-781	PYRIDNUCSYN-PWY	rn00760
rxn00139	P121-PWY	PWY-6605	PWY-6610	PWY-7805	PWY-7807	PWY66-409	rn00230
rxn00140	rn00230
rxn00141	METHIONINE-DEG1-PWY	PWY-5041	PWY-5328	PWY-6292	rn00270
rxn00142	
rxn00143	PWY-6151	PWY-6153	PWY-6154	PWY-I9	rn00270	rn01230
rxn00144	
rxn00145	rn00620
rxn00146	rn00620
rxn00147	GLUCONEO-PWY	HEXITOLDEGSUPER-PWY	P23-PWY	P341-PWY	P441-PWY	P461-PWY	PWY-5484	PWY-6142	PWY-6146	PWY-7345	rn00620	rn00680	rn00720	rn01200
